Time,storEo,rlsFloodEo,rlsCompEo,rlsSpillEo,qForksEo,qHopEo,qClovEo,qHldsEo
02-Jan-1985,68400.0000000025,176.158004005472,0,0,225.503188005472,285.074216368472,359.060922093472,528.686318465472
03-Jan-1985,68400.0000000025,175.698913006735,0,0,224.094131006735,281.062486369735,348.129192094735,506.980078466735
04-Jan-1985,68400.0000000025,175.324576006741,0,0,222.893431006741,278.728176369741,343.924882094741,492.739358466741
05-Jan-1985,68400.0000000025,174.971431006736,0,0,221.724517006736,276.443326369736,340.370032094736,482.379348466736
06-Jan-1985,68400.0000000025,174.643005006737,0,0,220.689800006737,274.440976369738,337.297682094738,473.469458466738
07-Jan-1985,68400.0000000026,183.680028006668,0,0,229.320703006668,272.420986369668,334.637692094668,465.858378466668
08-Jan-1985,68400.0000000031,215.095960006509,0,0,264.215130006509,323.136376369509,362.553082094509,825.622168466509
09-Jan-1985,68400.0000000026,180.946672006981,0,0,225.029970006981,279.558076369981,366.404782094981,783.532968466981
10-Jan-1985,68400.0000000029,203.590436006572,0,0,250.456532006572,299.281326369572,343.358032094572,753.924768466572
11-Jan-1985,68400.0000000025,174.646537006941,0,0,218.224834006941,278.459786369941,357.626492094941,723.717988466941
12-Jan-1985,68400.0000000025,173.368146006744,0,0,215.230153006744,264.499896369744,326.466602094744,629.885138466744
13-Jan-1985,68400.0000000025,172.880803006734,0,0,214.054173006734,261.614696369734,320.661402094734,581.264438466734
14-Jan-1985,68400.0000000025,172.661851006738,0,0,213.252531006738,259.905462369738,318.052168094738,550.700094466738
15-Jan-1985,68400.0000000025,172.449964006739,0,0,212.412044006739,258.418716369739,316.125422094739,526.786448466739
16-Jan-1985,68400.0000000024,172.25573300674,0,0,211.58921000674,256.69536636974,313.98207209474,506.39248846674
17-Jan-1985,68400.0000000024,172.079160006735,0,0,210.826413006735,255.219206369735,311.925912094735,489.009768466735
18-Jan-1985,68400.0000000024,171.870803006735,0,0,210.056553006735,253.626516369735,309.973222094735,474.499188466735
19-Jan-1985,68400.0000000024,171.683637006739,0,0,209.237257006739,252.093862369739,307.980568094739,461.862684466739
20-Jan-1985,68400.0000000024,171.507062006735,0,0,208.552148006735,250.702466369735,306.159172094735,451.124298466735
21-Jan-1985,68400.0000000024,171.330488006738,0,0,207.796415006738,249.279276369738,304.295982094738,441.989848466738
22-Jan-1985,68400.0000000024,171.153915006732,0,0,207.181938006732,247.870221369732,302.436927094732,434.014313466732
23-Jan-1985,68400.0000000024,170.977342006734,0,0,206.369702006734,246.538861369734,300.735567094734,427.354773466734
24-Jan-1985,68400.0000000024,170.814895006737,0,0,205.698722006737,245.136866369737,298.883572094737,420.957768466737
25-Jan-1985,68400.0000000024,170.666574006735,0,0,205.045404006735,243.784316369735,297.201022094735,415.348238466735
26-Jan-1985,68400.0000000024,170.765455006734,0,0,204.635751006734,242.618932369734,295.375638094734,410.107914466734
27-Jan-1985,68400.0000000024,170.320489006738,0,0,203.685789006738,241.248726369738,293.995432094738,405.997868466738
28-Jan-1985,68400.0000000025,174.427585006703,0,0,207.517429006703,239.807886369703,292.154592094704,401.858058466704
29-Jan-1985,68400.0000000027,190.545196006616,0,0,225.831611006616,266.781232369616,303.107938094616,402.729074466616
30-Jan-1985,68400.0000000024,169.903777006883,0,0,201.743482006883,240.704876369883,307.831582094883,421.094778466883
31-Jan-1985,68400.0000000024,169.674232006736,0,0,201.008935006736,236.078656369736,288.055362094736,398.295628466736
01-Feb-1985,68400.0000000024,170.199286553828,0,0,201.099619553828,235.041920369828,285.257666104828,388.333197961828
02-Feb-1985,68400.0000000024,169.108061553839,0,0,199.867136553839,233.911855369839,284.497601104839,385.471932961839
03-Feb-1985,68400.0000000025,177.880224553769,0,0,208.204927553769,239.876500369769,283.522246104769,382.790857961769
04-Feb-1985,68400.0000000024,168.8961715539,0,0,198.4510155539,233.7599953699,289.1057411049,385.5209429619
05-Feb-1985,68400.0000000024,171.357605553816,0,0,200.467484553816,232.026051369816,280.101797104816,380.888958961816
06-Feb-1985,68400.0000000024,168.504179553852,0,0,197.119654553852,229.476330369852,279.952076104852,375.971757961852
07-Feb-1985,68400.0000000027,192.129692553666,0,0,221.165411553666,229.377445369666,276.413191104666,372.725992961666
08-Feb-1985,68400.000000019,1338.69087654562,0,0,2036.33211654562,2031.52010536161,2031.23585109661,2027.76705295361
09-Feb-1985,68400.000000017,1198.12787655484,0,0,2639.60897655484,5631.91056537084,7223.81631110584,11851.5065129628
10-Feb-1985,68400.0000000049,341.828566559972,0,0,713.865036559972,1233.75126537597,1871.43701111097,4168.74671296797
11-Feb-1985,68400.0000000042,295.262646554167,0,0,586.174296554167,948.652465370167,1331.12821110517,2484.19001296217
12-Feb-1985,68400.0000000039,276.18918655397,0,0,513.41898655397,807.46441536997,1118.48016110497,2066.55800296197
13-Feb-1985,68400.0000000038,270.422306553877,0,0,468.177386553877,715.374365369877,970.980111104877,1763.41905296188
14-Feb-1985,68400.0000000034,242.735616554029,0,0,405.423216554029,610.804105370029,835.159851105029,1524.52245296203
15-Feb-1985,68400.0000000033,230.87341655392,0,0,367.73187655392,538.76568536992,724.79143110492,1302.93753296192
16-Feb-1985,68400.0000000031,221.038280553908,0,0,337.587270553909,482.449395369908,641.285141104909,1136.00036296191
17-Feb-1985,68400.000000003,212.834686553889,0,0,313.495616553889,437.462035369889,574.947781104889,1004.10138296189
18-Feb-1985,68400.0000000029,205.994228553881,0,0,294.069004553881,401.811915369881,522.057661104881,893.718912961881
19-Feb-1985,68400.0000000029,200.283851553869,0,0,278.290421553869,372.836225369869,481.571971104869,804.947432961869
20-Feb-1985,68400.0000000028,195.526962553869,0,0,265.623047553869,349.320185369869,447.945931104869,733.760752961869
21-Feb-1985,68400.0000000027,192.369831553852,0,0,256.126931553852,330.995405369852,420.351151104852,674.100312961852
22-Feb-1985,68400.0000000027,188.21329655386,0,0,246.91333655386,315.20269536986,398.42844110486,626.21776296186
23-Feb-1985,68400.0000000026,185.412846553851,0,0,239.998726553851,302.383455369851,379.439201104851,585.940812961851
24-Feb-1985,68400.0000000026,183.039696553851,0,0,234.263619553851,292.170455369851,365.166201104851,552.901612961851
25-Feb-1985,68400.0000000026,181.062076553849,0,0,229.503206553849,283.486565369849,352.332311104849,527.206112961849
26-Feb-1985,68400.0000000025,179.395226553844,0,0,225.555026553844,276.148185369844,341.733931104844,503.855622961844
27-Feb-1985,68400.0000000025,177.993231553843,0,0,222.323731553843,270.208265369843,333.134011104843,484.982652961843
28-Feb-1985,68400.0000000025,176.771345553843,0,0,219.512685553843,264.995825369843,325.921571104843,469.082792961843
01-Mar-1985,68400.0000000025,174.561912930691,0,0,215.911852930691,259.455227748691,318.588675115691,454.474904637691
02-Mar-1985,68487.0512221034,0,129.79072,0,170,211.735263818,269.248711185,399.120840707
03-Mar-1985,68570.5834932517,0,130.807785,0,170,210.121380818,266.434828185,391.225167707
04-Mar-1985,68676.94141832,0,131.549393,0,170,195.554079818,250.807527185,371.151756707
05-Mar-1985,68586.2955536685,0,131.069115,0,170,221.273751818,263.707199185,362.008008707
06-Mar-1985,68589.7301707641,0,127.84135,0,170,188.808976818,230.132424185,352.920413707
07-Mar-1985,68612.6444773579,0,126.70422,0,170,203.012556818,475.646004185,652.529003707
08-Mar-1985,68658.1130332402,0,89.676796,0,170,250.839182818,647.132630185,2436.624339707
09-Mar-1985,68560.1478418035,0,114.78552,0,170,237.525565818,500.379013185,1443.551492707
10-Mar-1985,68523.0409481475,0,118.048595,0,170,177.494161818,370.557609185,997.204658707
11-Mar-1985,69532.6926828667,0,25,0,327.66083,757.663186818,1472.746634185,2910.115983707
12-Mar-1985,69747.0975456541,0,25,0,182.20323,577.046321818,1288.299769185,3724.950518707
13-Mar-1985,69854.0441584139,0,45.30038,0,170,369.764840818,765.878288185,1907.607437707
14-Mar-1985,69910.737199791,0,64.48331,0,170,330.551454818,646.774902185,1561.720351707
15-Mar-1985,69927.5800666645,0,79.612114,0,170,303.888890818,566.002338185,1336.433027707
16-Mar-1985,69912.3696588284,0,91.62616,0,170,282.505848818,503.339296185,1156.292295707
17-Mar-1985,69871.8451742455,0,100.93157,0,170,265.332336818,454.385784185,1014.005653707
18-Mar-1985,69810.5879877798,0,108.47479,0,170,251.969252818,414.392700185,894.900599707
19-Mar-1985,69738.6364584269,0,114.414715,0,170,240.071751818,379.535199185,795.985898707
20-Mar-1985,69769.6886318967,0,119.23517,0,170,210.170816818,301.304264185,657.822373707
21-Mar-1985,69767.2021359965,0,123.09153,0,170,230.625086818,346.588534185,642.340703707
22-Mar-1985,69658.4148277979,0,126.19569,0,170,240.460216818,369.113664185,653.494513707
