Time,storPfo,rlsFloodPfo,rlsCompPfo,rlsSpillPfo,qForksPfo,qHopPfo,qClovPfo,qHldsPfo
28-Jun-1991,106198.821563504,0,192.11732568,0,204.74231868,183.26032052,148.41656481,135.71
29-Jun-1991,106177.578396932,0,147.02354302,0,166.73265702,137.65447386,101.10071815,88.39415334
30-Jun-1991,105988.68304183,0,162.68811002,0,174.62446752,165.14946086,163.59570515,150.88914034
01-Jul-1991,105705.136915216,0,196.83970352,0,207.75899752,170.65946086,156.98319215,154.882474
02-Jul-1991,105416.735933665,0,199.10725452,0,209.50389252,172.07946086,152.89319215,135.42
03-Jul-1991,105126.128584483,0,200.06424752,0,209.86759852,172.13946086,151.53319215,134.06
04-Jul-1991,104833.594981393,0,200.88001652,0,210.13245852,172.13946086,151.47319215,134
05-Jul-1991,104539.212108901,0,201.70990652,0,210.40437652,172.13946086,151.47319215,134
06-Jul-1991,104243.043065147,0,202.46211452,0,210.65158552,172.13946086,151.47319215,134
07-Jul-1991,103944.800677236,0,203.33438352,0,210.93056852,172.13946086,151.47319215,134
08-Jul-1991,103644.660045994,0,204.15015652,0,211.24134152,172.13946086,151.47319215,134
09-Jul-1991,103342.754270268,0,204.88116552,0,211.49560252,172.13946086,151.47319215,134
10-Jul-1991,103039.076336504,0,205.62983952,0,211.70043092,172.13946086,151.47319215,134
11-Jul-1991,102733.631747249,0,206.41735552,0,211.98294682,172.13946086,151.47319215,134
12-Jul-1991,102426.386981443,0,207.16249752,0,212.23368352,172.13946086,151.47319215,134
13-Jul-1991,102117.538170658,0,207.83347552,0,212.36434692,172.13946086,151.47319215,134
14-Jul-1991,101806.679050427,0,208.69868352,0,212.73514952,172.13946086,151.47319215,134
15-Jul-1991,101494.236900093,0,209.34141252,0,212.89406802,172.13946086,151.47319215,134
16-Jul-1991,101180.267756683,0,209.97001152,0,213.02826172,172.13946086,151.47319215,134
17-Jul-1991,100865.272481874,0,212.28665352,0,215.20011352,172.13946086,151.47319215,134
18-Jul-1991,100549.275556143,0,212.21249252,0,214.74102262,172.13946086,151.47319215,134
19-Jul-1991,100231.667577831,0,211.42497852,0,213.88287932,172.13946086,151.47319215,134
20-Jul-1991,99913.0721643224,0,211.78871752,0,214.11948552,172.13946086,151.47319215,134
21-Jul-1991,99593.6182400875,0,212.08182752,0,214.27133692,172.13946086,151.47319215,134
22-Jul-1991,99273.081657024,0,212.50207452,0,214.52560502,172.13946086,151.47319215,134
23-Jul-1991,98951.7566075322,0,212.76693352,0,214.72336602,172.13946086,151.47319215,134
24-Jul-1991,98629.7271471504,0,212.98941652,0,214.82224762,172.13946086,151.47319215,134
25-Jul-1991,98306.8387472458,0,213.29665352,0,215.04826102,172.13946086,151.47319215,134
26-Jul-1991,97983.1393191972,0,213.57563852,0,215.18245572,172.13946086,151.47319215,134
27-Jul-1991,97658.5658163921,0,213.89700352,0,215.41906562,172.13946086,151.47319215,134
28-Jul-1991,97333.2311764242,0,214.15833152,0,215.54266642,172.13946086,151.47319215,134
29-Jul-1991,97007.1135288085,0,214.42672152,0,215.74042712,172.13946086,151.47319215,134
30-Jul-1991,96675.573530003,0,217.03411286,0,218.20655986,174.4890552,153.82278649,136.34959434
31-Jul-1991,96360.4656220679,0,208.62067396,0,209.70836576,165.8142873,145.14801859,127.67482644
01-Aug-1991,96055.5211114438,0,203.2407827,0,204.3214115,165.8142873,153.82278649,134
02-Aug-1991,95749.8971608113,0,203.4526687,0,204.423822,165.8142873,153.82278649,134
03-Aug-1991,95443.8027796182,0,203.6009897,0,204.4626675,165.8142873,153.82278649,134
04-Aug-1991,95137.1410258032,0,203.75990606,0,204.5368287,165.8142873,153.82278649,134
05-Aug-1991,94830.122046106,0,203.82347244,0,204.5368287,165.8142873,153.82278649,134
06-Aug-1991,94522.703800837,0,203.88703883,0,204.5368287,165.8142873,153.82278649,134
07-Aug-1991,94214.8722860157,0,203.96826256,0,204.5368287,165.8142873,153.82278649,134
08-Aug-1991,93906.7244429697,0,204.0494863,0,204.5368287,165.8142873,153.82278649,134
09-Aug-1991,93598.3034218839,0,204.07420656,0,204.5368287,165.8142873,153.82278649,134
10-Aug-1991,93289.3920818433,0,204.18368203,0,204.5368287,165.8142873,153.82278649,134
11-Aug-1991,92980.0534652156,0,204.27903164,0,204.5368287,165.8142873,153.82278649,134
12-Aug-1991,92670.4486751168,0,204.30022043,0,204.5368287,165.8142873,153.82278649,134
13-Aug-1991,92360.4376170988,0,204.38144417,0,204.5368287,165.8142873,153.82278649,134
14-Aug-1991,92050.1662664457,0,204.437947634,0,204.5368287,165.8142873,153.82278649,134
15-Aug-1991,91740.2031165249,0,204.4414791,0,204.5368287,165.8142873,153.82278649,134
16-Aug-1991,91429.3363766451,0,204.501514032,0,204.5368287,165.8142873,153.82278649,134
17-Aug-1991,91118.2174742445,0,204.508576968,0,204.5368287,165.8142873,153.82278649,134
18-Aug-1991,90806.8464065562,0,204.526234299,0,204.5368287,165.8142873,153.82278649,134
19-Aug-1991,90495.2091681519,0,204.5368287,0,204.5368287,165.8142873,153.82278649,134
20-Aug-1991,90183.4447229929,0,204.5368287,0,204.5368287,165.8142873,153.82278649,134
21-Aug-1991,89871.4631353518,0,204.5368287,0,204.5368287,165.8142873,153.82278649,134
22-Aug-1991,89559.2293830796,0,204.5368287,0,204.5368287,165.8142873,153.82278649,134
23-Aug-1991,89246.7784883253,0,204.5368287,0,204.5368287,165.8142873,153.82278649,134
24-Aug-1991,88934.110451089,0,204.5368287,0,204.5368287,165.8142873,153.82278649,134
